kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
jiin76**|카키 브라운색상 샀는데 화면그대로고 이쁘네요 두께도 두툼하고 금방 늘어날것같은 재질이면 어쩌나했는데 스판끼가 그렇게많은편이아니여서 늘어날 걱정은안해도될거같아요!
jiin76**|별로 기대안하고 샀는데 이쁘네요 두께도 두툼하고 색깔도 제가 좋아하는 수박색이라 마음에들어요 ㅎㅎ 길이는 짧아서 치마안에넣어서 입으려구요
jiin76**|라일락 그레이색상 샀는데 화면 그대로네요!!짜임도 잘 되어있고 마무리 처리도잘되있네요 두께도 두툼하고 너무마음에드네요
audwn22**|색깔은 화면으로 보는거랑 같아서 너무 좋았어요!하지만 어깨가 부해보여요.. 이거 빼면 진짜 너무 좋았어요!! 배송도 빠르고!이번에 시킨 상품들 중에서 제일 마음에 들었어요!!
jiin76**|뽕도 적당히있는것 같고 생각보다 잘 모아주는것 같아요!!아쉬운점은어깨끈이 자주 풀리네요ㅠㅠ그것만 빼면 완벽한 제품인것같네요
guswls12**|구매한지 조금 됬는데 이제서야 후기 쓰네요 ㅎㅎ 프리퍼 더블코트 검은색으로 구매했는데 배송은 이틀정도!? 걸린거같아요ㅎㅎ그리고 한번 입고 나갔엇는데 괜찮았어요! 날씨가 엄청 춥고 바람이 많이 불지 않는이상 (영하로 내려가지 않는이상) 적당히 따듯합니다 ㅎㅎ 근데 코트가 좀 뭔가 뻣뻣? 하다고 해야하나 카라부분이 자리를 잘 못잡고 그러네요! 그부분이 조금 아쉽더라구요ㅠㅠㅠ 그리고 저는 키가 작은편인데 뭔가 코트가 좀 크더라구요... 오버핏으로 알고있긴 한데 ㅎㅎ 펑퍼짐 하다고 해야하나??? 그렇지만 입고 다니면서 좋았어요!
dksud23**|회사 다닐 때 입으 려고 샀는데요. 정말 여성스럽고 예쁩니다. 가격에 비해 정말 두꺼워서 따뜻해요. 팔길이가 다소 길수 있으나 접어 입으면 더 여성스러워 보여 좋습니다.  다른 쇼핑몰과는 비교되게 정말 재질이 좋네요. 그래서 저도 이 쇼핑몰만 애용한답니다. ㅎㅎㅎㅎ 니트의 재질도 보들보들 하고 치마에도 바지에도 정말 잘 어울리네요. 다들 예쁘다고 칭찬해서 매일 코트 안에 입고다녀요. 다른색깔도 사서 입고 싶네요. 그만큼 정말 추천드립니다. 이 좋은 상품을 널리 알리고 싶네요 ㅎㅎㅎㅎㅎㅎㅎㅎ
melina**|굳굳굳!!!길이도 적당하고 모직이라 정말따뜻해요ㅎㅎㅎ 벨트가 포인트여서 너무 지루하지도않고 예뻐요ㅎㅎㅎ짱!!
melina**|오오오 살짝 어깨가 넓어보이는 경향이 있지만 밑에 시보리없는 맨투맨 찾고있었는데 제가찾던 바로그 맨투맨이었습니당 좋아요!!!!bbb
melina**|역시 흰색티는 옳습니다! 보드랍고 좋아요 하나더살까고민중입니당ㅎㅎㅎㅎ 안에넣어입어도 좋고 청바지에ㅣㅂ어도이쁠것같네용ㅎㅎ
smart17**|일단 색깔은 맘에 들어요!! 진한 청색이라 완전 원하던 색이구요 길이도 적당해요!! 접으면 딱 이쁜 핏 나오는 거 같아요 다리 긴 분들은 안 접고 입어도 이쁠 것 같구요 기모라 요즘에 따뜻하게 잘 입을 수 있겠어요~
smj03**|되게 싸서 한번 사서입어보자 라는마음으로 샀는데 겨울엔 못입겠고 봄.가을용? 그정도로 얇고 모델이입은 핏보단 약간 부해보인다 그리고 소매가 귀여워서 싼값에 산것치고는 괜찮은것같아요ㅎ
pus**|좀 사이즈가 작게 나온것 같긴 하지만 잘 모아주고 잘 붙어서 좋은것 같아요! 사실분은 한사이즈 크게 사는것도 좋을것 같아요~
tnwjd**|완전 이뻐요 얇지만 괜찮은 것 같아요 치마가 좀 짧긴하지만 잘 입을 수 있을 것 같아요 짱짱 편하고 기모도 조금 있어요 많이 많이 파세요!!
suhyun1**|옷이 이쁘긴 합니다. 밝은 색 치고 크게 부하지도 않고요!! 하지만 키가 조금 있으시다면 좀 짧습니다ㅠㅠ그리고 좀 얇아요 많이! 저는 할인 안 할 때 사서 아쉽지만 지금도 재고가 남아있다면 이만원대에는 충분히 괜찮은 상품입니다~ㅑ
skalsw**|12월 31일날 시켜서 1월 11일날 도착했는데요. 엄청 기대한 만큼 그렇게 이득을 본 건 아닌 것 같습니다. 택배를 받자마자 뜯어서 입어보았는데 지퍼 쪽에 실밥과 털이 되게 많이 있어서 잘랐고 , 어깨 쪽을 보니 되게 어깨깡패 같아 보였습니다. 손으로 소매를 잡아당기면 그나마 괜찮네요. 그리고 옷 앞쪽에 흰색 무언가가 묻어있고요. 그래도 이 가격치곤 괜찮은 것 같습니다. 따뜻하고요, 교복이랑 입으면 이쁠 것 같네요
997069550413834**|요거 검은색 삿는데 너무 좋아서 차콜로 하나 더 추가 구매 햇는데역시 마음에 꼭 드네요 ~ 너무 뷰들뷰들 해서 자꾸 매고싶어져요
997069550413834**|요거 완전 두툼하구 너뮤 맘에 들어요 ㅠㅠ 제가 그동안 입어온 기모 바지 중에 제일 도톰 한거같아요ㅋㅋ 요즘 같이 추울때 이거 딱임여
gkxm38**|와...쇼핑몰 코트 처음 사보는데이렇게 두꺼운 코트는 처음보는거 같아요!완전 두툼하고 기장도 길어요.딱 무릎위까지 오는 길이구요안주머니에 여분 단추 하나가 들어있어서 유용하네요~~
gkxm38**|코코아색 완전 이뻐요♡색상도 여리여리하고 핏도 괜찮구요!여성스럽고 좋네요..부드러운 색상이라 스커트랑 매치해도이쁠것 같구요~~~
gkxm38**|무난해서 아무 니트나 받쳐입기 좋구요재질도 꽤 두툼한 모직이라 따뜻할 것 같아요!뒷밴딩이라 늘어나서 사이즈걱정은 크게 안하셔도 될것 같아요^^완전 좋네요 제 스타일~~
gkxm38**|가격대비 좋아용!짱짱하고 재질도 괜찮아요!엄청 얇을 줄 알았는데 살이 비치지 않을 정도의두께감이에요~~ 몇개 더 살걸 그랬나봐요ㅜㅜ만족합니다^^♡
gkxm38**|색감이 가을에 잘어울리는 브라운이에요.!완전 잘빠졌구 살짝 짧은감도 있지만3000원 할인된 가격에 살 수 있어서가격대비 좋네요♡
gkxm38**|헐..ㅋㅋㅋㅋ할인 가격에 구매해서 별로 기대도 안하고 샀는데엄청 두툼하고 짜임도 이쁘고 색도 선명하니 발랄해 보이네요~♡ㅎㅎ
cpfl09**|역시 생각한대로 너무너무 예쁘네요ㅎㅎ 약간짧긴하지만 그래도 이정도면 괜찮은것 같구요! 뒤에가 고무줄 처럼 되있어서 편해서 잘입을 수 있을 것 같아요~ 감사합니다
tjdus83**|처음 받았을때 제가 입을 수 있나했는데 들어가긴 하저라고요. 길이가 생각보다 짧아서 좀 아쉽지만 예쁜것 같아요. 몸매도 예뻐보이고!
hym02**|ㅋㅋㅋㅋㅋㅋ뭐 제일 따뜻하지는 않은거 같은데 ㅋㅋ 이름 바꾸셔야 할거 같아요 ㅎㅎ 제일 편합니다 진짜로 이건 진짜 편해요. 요즘 이것만 입고 다녀요. 이거 진짜진짜 편해요. 이거 입다 딴바지 못입겠어요 기모 없는것도 있는거 같던데 그것도 사고 싶네요. 배송도 적당하고 좋았어요. 근데 따뜻하다그래서 샀는데 의외의 편함?!?!? 뭔가 목적과는 다르게 좋아서.. 분명 편한것도 무척좋지만 따뜻한걸 원하고 산건데 그닥;; 바람 다들어오고 다리 으슬으슬 떨릴때도 있고 그래서 ㅋㅋㅋ 편하지만 안따뜻해서?? 별하나 깠어용
tjdus83**|키가 좀 있어서 짧을까 고민했는데 기장도 딱맞고 좋더라고요. 안에 양털있어서 따뜻하고 좋은것 같아요.재질도 비닐 느낌나서 좋아요.
elwj**|넘나따듯하고 재질도편해요 도톰하지도얇지도않아서 겉옷입기편하구요 주위사람들이이뿌데요~다른색도살까고민중이입니다
cola03**|옷이되게두껍고보들해서좋았어여!!색도무난해서코디도편하고괜찮은거같아요.근데 목부분이 잘늘어나지않아서 답답한감이 없지않아있네요ㅠ그래도입을만한거같습니다!
say25**|잘 입고다닙니다 겉기모라 그런가 더 따뜻한거 같구요기장도 길고 예뻐요 자주입게되네욤빳빳한 재질에 잘 구겨지지 않아요
say25**|그냥 가격대비 입을만 한 정도에요소매처리나 목부분도 두꺼워서 좋아요 넉넉한 폴라티로 사기에 좋아요무난한 색 입니다.
say25**|모직인데 빳빳한 재질은 아닙니다. 그냥 이 가격대비 정도..그리 두껍지도 않아요 그냥 보통입니다.살짝 에이라인정도입니다
say25**|사진에서 보는 색깔보다 실 색깔은 좀 어두운핑크에요그래도 만족합니다 그냥 보통이에요 가끔 실오라기가나와있습니다.
say25**|좋아요 가격대비 이 계절에 입을만합니다 목부분이 쫀쫀하나 몇번 입으면 그렇진 않구요길이는 좀 짧은편 그리고 소매 시보리도 조이진 안아서 편해요
say25**|아주얇고..아주아주 박시합니다 지금은 절대 못입고 봄가을쯤..아주 얇아요 길이는 아주 롱롱입니다 그냥 남방정도의 두께정됴..
nb010**|고고싱에 파는 남방이랑 같이 샀습니다! 치마 자체는 괜찮은데 다른 분들이 지퍼 뻑뻑하다는 거 저도 그렇네요..ㅠㅠ몇 cm 안 내렸는데 뻑뻑해서 안 내려가길래 고장난 줄 알고 교환할려고 했습니다ㅠㅠ지퍼 빼곤 괜찮아요~
nb010**|카키보다는 버건디 옷이 갖고 싶어서 주문했는데 색깔 제가 딱 원하는 색상이네요! 재질도 나쁘지 않고 가격대비 괜찮은 제품 같아요 ㅎㅎ좀 아쉬운 점이 있다면 몇몇 단추가 풀 때 실마감처리가 덜 됐는가 실때문에 단추 풀기가 너무 번거롭네요..ㅠㅠ이런거 신경 조금만 더 써주세요..
nb010**|까만 니트를 찾던 차에 너무 싼 가격이라서 살까 말까 너무 고민했는데 싼 가격치곤 무난하게 입을 수 있는 거 같아요~ 그래도 목부분 늘어날까봐 조금은 조심스럽네요ㅠㅠ막 쫀쫀하진 않아요 참고하세요! 그리고 길이감은 엉덩이 거의 다 덮고 소매도 길어서 접어서 입고 있습니다~
esz1**|개따듯해요 진심 ㅋㅋㅋㅋ 고급지고ㅎㅎㅎ이거한번입은뒤로 다른 나시 못입겠어요털도 겁나 부드럽고 안에 뭐여러개껴입을필요도없이 이거하나만입으면 세상따듯
esz1**|대존예에요 진심.. 이거입고 알바하는데 손님들이 이쁘다고 많이들 그러셨어요 ㅋㅋㅋㅋ사람을 이뻐보이게 해쥬는 옷 ㅎㅎ
govmsld**|제키에 조금 짧음 원피스니까 스타킹신어야되는데 궁댕이보일것같은느낌 속바지좀긴거입으면 속바지보일듯 한느낌 다리가좀긴편이라그럴수도잇는데 좀짧아요
bijaru**|이 가방 좀 불편합니다.  모양이 마음에 들어 구입했으나, 실용적이지 않아요. 끈은 너무 길고, 입구는 빡빡합니다.짐 많이 넣으면 어깨가 아픕니다.그리고 가장 큰 단점은 끈이 흘러내립니다.
govmsld**|구매후 아직 한번도못입었는데 보고이뻐서 샀는데  입기조금애매한날씨랄까 목티랑같이입기엔 팔뚝이낄것같고 슬프네요 역시 다이어트만하면 입을수잇는옷엄청만은데
esz1**|대만족...겁나이뻐요 이가격에 ㅋㅋㅋㅋ진짜굿 롱코트라 이쁘고
bijaru**|니트류는 세탁이 불편해 즐겨입지 않아, 구매하기전 많이 고민했는데 입어보니 따듯합니다.짜임이 굵고 원사가 도톰합니다. 처음 입었을때 무게감은 조금 지나면 익숙해집니다.넉넉한 사이즈와 기장도 딱.다만, 상체에 살이 있거나 어깨가 넓으신 분은 고민을 해보시는 게 좋은 듯.어깨가 좁은분은 강추입니다.
govmsld**|색깔너무맘에들어요 코코아색이조금 밝거나 애매하면 엄청싸보이는데 이건예쁜코코아색이네요 너무맘에 듭니다 근데소매가넓어서 알바할땐좀 불편해ㅣ요
govmsld**|싼맛에 구매햇는데 팔이조금 짧아요 그래도누빔이잇어서 좀따뜻한편이고 잘입으면 비싸보여요 추천 합니다 제키에 무릎조금넘어요
govmsld**|그냥그래요 생각보다얇아서 치마랑입기좋아요 치마입을때 위에두껍거나너무 길면 배나와보이거나 치마밖으로 니트가보일수도있는데 이건적당해요
155932278118515**|키가 큰 편이라 길이가 짧을까봐 걱정했는데 길고 주머니도 크고 따뜻해요 비록 배송이 늦었지만 요즘 딱 입어야 할 날씨에 맞게 도착해서 좋아요~~
bijaru**|평소 아무 옷에 걸치기 무난합니다.가격이 저렴한만큼 가방 또한 딱 그만큼의 퀄이나, 가방에 가볍게 장식을 해주면 다른 분위기가 납니다.
zoal**|샤랄라, 봄, 소녀, 데이트룩이 떠오르는 원피스에요! 너무 맘에 들어요. 네이비 색+분홍 잔잔한 꽃+골덴 소재의 조화가 사랑스러워요❤ 167키에 기장은 무릎 위까지 와요. 단독으로 입으면 아방한 느낌이 있어요.(이상하진 않음).다만 키 작으신 분이 원피스만 입으면 헐렁할거 같아요ㅠ.
somsom07**|퍼머플러 너무너무 사고 싶어서 고고싱에서 세일하길래 베이지, 블랙 두가지씩이나 구매했어요!ㅋㅋㅋ 저렴한 가격이지만 넘 만족해요!!
somsom07**|고고싱 오랜만에 들어오니 세일 하길래 이것저것 구매했어요~요새 벨벳소재가 유행이라 벨벳 맨투맨 보자마자 샀는데팔이 너무 길어요ㅜㅜ
somsom07**|목폴라 니트를 엄청엄청 사고 싶었고, 브라운계열로 사고싶어서 구매했습니다.실제로 받아보니 정말 진한 브라운이라 만족합니다!!
somsom07**|어제 배송 오자마자 뜯고 제일 감탄한 니트에요~~!오늘 출근길에 입었는데나름 따뜻하고 예쁘네용!ㅋㅋ 제일 맘에 들었던건 색깔이 넘 예쁘다는 점!
somsom07**|블랙을 살까 카키를 살까 고민하다가 카키를 샀는데요 화면에서 보는거랑 실제로 받아본 색이 너무 달라서 실망했어요ㅜㅜ 완전 칙칙하고 어두운 카키색이더라구요!!!ㅠ
dbfk99**|월요일 구매해서 오늘 왔어요 배송 빠른편이네요옷도 질도 좋고 길이감도 적당해서 맘에 들어요색도 예쁘게 나왔네요 만족스럽습니다
hhj3273**|너무 예뻐요! 색상은 모델분이 입으신 거랑 비슷하구요 위에 니트 입어두 예쁘네요 허리띠로 코디하면 더 예쁘게 입을 수 있을거같아용 봄에 입기 딱 좋네용
gureum**|단을 2번 접어입었어요.요즘 날씨가 그리 많이 춥지 않아서인지 따뜻하게 입을 수 있는거 같아요다만 약간 실망한 점이 있다면 제가 생각한 흑청보다는 좀 더 푸른거같아요ㅠㅠㅠ 그리고 허리 뒷쪽에 라벨디자인 천?이 깔끔하게 재단이 안돼서 보기 안이뻐요ㅠㅠ 그래도 상의로 가릴 수 있으니까 다행입니당...ㅎㅎㅎ 전체적으로 따뜻하고 핏도 이뻐서 만족합니다!
ss200**|치마가 조금 크고 구김이 잘가서 입을때마다 다림질을 해야됬지만ㅠㅠ 그래도 핏도 이쁘고♡ 배송도 이틀만에 와서 좋았어요♡
heesoo70**|처음에 가격도 저렴하고 색도 다양해서 파스텔카키랑 코코아 두개 주문했는데 목 폴라부분이 엄청 길어서 저는 3번 접어서 입고요, 쫀쫀해서 목에 딱 달라붙는 감이 있어요ㅜ 그리고 얇아서 안에 히트텍같은 걸 입어야 해요 색은 진짜 이뻐서 크림색이랑 스트로베리색도 주문할 예정입니다 !!
heesoo70**|하 이거 진짜 존예... 고고싱에서 사기 잘한 옷 중에 1등 먹을 정도에요ㅠㅠ 두툼해서 따뜻하고 넥 부분이 포인트 될만한 니트 찾고 있었는데 딱 이에요 ! 코트랑 입어도 이쁘고 청자켓이랑 입어도 진짜 이뻐요 심지어 가격도 저렴해서 요즘 많이 입고 다니고 있습니당
okjoohy**|정말 따뜻해용 사실 디자인이 디자인인지라 편소에 막 입기에는 좀 부담스럽기해요근데 가끔씩 기분내고싶을때 입으면 정말 좋은거 같어용너무 따뜻해서 이불뒤집어 쓴거 같아용역시 고고싱은 실망시키지 않네용!!새일할때 삿눈덷정말 이득봣습니덩
gmlwn66**|일단 배송이 너무너무 좋았어요~색상도 제가 생각했던거랑 똑같구여!가격도 싸서 첨에 엄청놀랬어요~코트가 필요해서 싼걸루 구매하긴했는데 잘샀다고 생각이 들었어요ㅎㅎ이 코트 매일입을것같네요^^감사합니다♡
heesoo70**|맨날 바지 줄여입는 게 돈도 들고 시간도 들고 귀찮아서 이 바지 주문했어요 ! 3cm 정도야 얼마 차이 안나겠지 했는데 생각보다 저한테 짧아서 당황했지만ㅋㅋㅋ 니트양말이나 장목양말로 코디하니까 이쁘더라고요...조만간 진청도 주문할 생각이에요 !!
okjoohy**|음 생각햣던것보다 만족스러웟어용제가 주문을 다하고 후기를 봣는데 다들 얇다고 하셔서 너무 걱정했는데제가 추워를 안타서 그런지약건춥긴 했지만 별로 많이 춥지는 않앗어용특히 기장이 길어서 종어리까지 내려와서 그론지 따뜻햇돈거 같아용!만족합니덩
heesoo70**|일단 색이 존예. 요즘 날씨에 입기 좋은 색이고 발목 끝까지 딱 잡아줘서 핏도 예뻤던 것 같아요 ! 다만 역시나 너무 길어서 길이 수선하고 입고 있습니닿ㅎ 고고싱 바지좋은거 인정
pbc**|다른분들말대로 어께깡패네요ㅋㅋ길이좋고 두께감좋고 가격대비 좋은물품이에요. 단점은 옷이 좀 무거워요지퍼끼우는부분이 두개라 열고다니면 좀 펄럭입니다
alsgk23**|하나 더 사고싶어요.. 편하고 날씨추울때 목도리 안해도 완전 따뜻해요. 이 위에 패딩하나만 입으면 완성ㅋㅋ 색깔별로 다 갖고싶어서 더 살까말까 고민중.
okjoohy**|그냥 딱 기본 골지폴라티예요!'입을땐ㄴ 좀 함든데 구래도 다입고보면너무 이쁜거 같아용누구나 다갖고 잇오야하는 기본 베이직 아이템이라강추합니다앙역시 고고싱 실망을 안시키네욥셔츠같운거에 이너해서 입으니까 너무 이뻐서맨날 그롷개 입을료규욭
alsgk23**|스키니가 이렇게 쭉쭉 잘늘어나는거였나 싶을정도로 엄청 편해요 ㅋㅋㅋ 근데 추운날엔 얇아서 못입을듯 ㅠㅠ 그래도 안에 스타킹같은거 신고 입어도 괜찮을거 같아요. 좋음ㅋ
heesoo70**|카멜브라운이랑 카키 두개 주문했는데 생각보다 가볍지만 두툼하고 따뜻해서 의외였어요... 할인할 때 사서 진짜 이득봄ㄷ 158인 저에게는 허벅지 반을 덮는 기장이였던 것 같아요 ! 특히 카멜브라운은 평상시에 잘 볼 수 없었던 컬러라 더 이뻐요 ㅎㅎ 그리고 안주머니까지 있어서 더더욱 좋았어요ㅠㅠㅠ
gmlwn66**|좋아요♥-161cm,50kg-일단 배송은 진짜 빠르고 색깔도 모델분이 입으신거랑 완전 똑같아서 좋았습니다!!!!근데 단점은 팔이 짧은 점이 아쉽네요~그것만 괜찮다면 좋겠네요^^
heesoo70**|딱 입었을 때 진짜 쫀쫀하고 허리도 밴딩이여서 너무 편했어요ㅠㅠ 근데 제가 키가 작아서 막 주름지고 핏이 이상하길래 길이 줄어셔 수선하니까 완전 잘 맞았어요 ! 알바하면서 입을 수 있을정도로 편해서 헤지면 또 주문할 것 같아요
lyn09**|신축성은 정말 좋아요!!!!!!!!!@ 근데 제가 발목이 좀 굵어서 그런지 발목 스판끼가 너무 없어서 입을때도 벗을때도 좀 힘드네요 허리도 잘 맞고 괜찮은거 같아용 길이가 좀 길어용
dwc053**|친구 선물 주려고 샀다가 저도 한번 입어봤는데 기장도 맘에 들고 품도 여유로워 좋더라구요! (제 키는 170입니당) 친구에게 전해줘서 입혀보니 키 작은 친구인데도 이쁘게 박시한 핏으로 떨어져서 정말 귀엽고 잘어울렸어요! 만족합니당:)
dwc053**|키가 큰 편이라 기장이 애매할까 걱정했는데 딱 반코트처럼 무릎 위로 여유롭게 떨어지길래 만족스러웠어요! 색상도 진짜 딱 원하던 밤색이라 너무 좋아용:) 제가 키 뿐 아니라 덩치도 아주 약간 있는 편인데 여유로워서 활동이 편하고 옷이 두꺼워서 되게 따뜻하더라구요! 후기에 싼티난다해서 걱정했는데 가격에 비해 막 고급져보이진 않아도 그렇다고해서 싼티나진 않아욤ㅎㅎ 여러모로 다 맘에 듭니단 감사해요 고고싱~~!
zcxv2**|겨울이라 코트구입할려구 찾아보다가 가격도 괜찮구 가벼운감도 있다그래서 구매했는데 진짜 잘 구매한것같아요 가벼워서 덜 따뜻 할거라 생각했는데 따뜻함도있고 코트 안쪽에 안감도 괜찮구뇨 디자인도 너무 마음에 들어요 제가 체격이 많이 작은 편이라 많이 커보이진 않을까 걱정했는데 전혀 이쁘게 박시한 느낌이에요 진짜 구매후 만족 짱짱이에요 이제 고고싱에서 옷 많이 구매항것같아요ㅠㅠ
asy7**|똑같은거 또 재구매 하게되었는데요 역시나 실망 시키지않아요바지 자체가 스판이라서 입으면 이쁘구요 ! 저 27입는데 평소에 xs입어도 문제없어요^*^살이 그렇게 흘러내리는대도 ㅎㅎ 여기 바지 넘나 좋아용!
kmjj08**|허벅지살이 쫌있어서 항상 L사이즈 샀어서 이번에도 L사이즈샀더니 역시 잘맞았구요 ! 진짜 편하게 잘입고다니고 있어요 ㅎㅎ친구들 한테도 추천해줬어영
guswl9801**|완전 마음에 들어요!!
tlstjgml4**|저기 모델언니가 입은 것처럼 위아래 버건디 옷으로 맞춰입고 싶어서 샀는데요ㅋㅋㅋㅋㅋ 역시 모델언니랑 저랑 다르다는 걸 다시 한번 뼈져리게 느끼는 성찰의 시간을 갖게 해준 뜻깊은 츄리닝 바지입니다ㅋㅋㅋ 다른 색깔은 괜찮을 것 같은데 제가 저렇게 입었을 때는 솔직하게 말해서 빨간 내복같은 느낌이였습니다. 편하긴 편하더라구요. 근데 궁딩이가 돋보이는 듯하기도 하구..암튼 뭐 잘 입겠습니다.
shinee2**|길이가 제가 생각했던 길이어서 맘에 들었고 의외로 도톰해서 따뜻해서 정말 맘에 드는 코트에요!! 제가 키가 큰 편이어서 팔부부인랑 기장이 진짜 짧을줄 알았는데 저한테 딱맞아요!! 롱코트 찾는 분들한테 적극 추천!!
tlstjgml4**|진한브라운색 샀는데요ㅋㅋ처음에는 온 것 중에 제일 마음에 들었어요 한2일 지나고 리본끈을 묶으려고 끈을 살짝 잡아 땡기는 순간 끈이 찢어진 채 나오더라구요ㅋㅋㅋㅋ뭐 이런 황당한경우가ㅋㅋ 아예 끈이 찢어져 있어요 제가 힘을 많이 주었으면 그냥 이해하고 지나갔을 텐데 살짝 잡아당겼거든요ㅋㅋㅋㅋ이번이 고고싱2번째 배송인데 많이 실망이네요 예
kny7**|색깔이 부농부농 한건아니고 약간 형광같아요ㅔ
gotsla1**|쭈리버전으로 잘못 사서 고민하다가 결국 적립금만으로 기모버전 다시 샀어용 정말 기대했는데 진짜 좋은거같아요 일단첫번째로 박시해서 좋아요 제가 키가 큰편이라 맨투맨이나 긴팔티를 사면 항상 팔이 좀 짧아서 스트레스였는데 이옷은 박시해서 길이가 적당하네요~ 아쉬운게 있다면 이옷을입으면 어깨깡패가 된다는거..?안그래도 제가 어깨가 좁은편은 아닌데이옷을 입으니까 어깨가 완전 태평양처럼 넓어보이더라구요..ㅠ그점만 빼면 다 마음에 들었어요 그리고 기모버전을 살때 이미 카키색상은 있으니까 다크그린이랑 카키중에서 엄청 고민하다가 카키샀는데 진짜 이쁜거같아용 근데 다크그린도 이쁠거같아서 또 사고시싶ㄴ에ㅛㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
smj03**|처음 가격이 싸서 산거였는데 진짜 가격에비해서 완전 좋아요 기모도 들어있고 되게 보들보들 거리고 핏도 사진과 거의 동일한핏이라 진짜 마음에들고 색깔도 엄청이뻐서 자주입고다닐것같습니댜 배송도 이틀만에 와서 되게마음에들어요ㅎㅎ
gotsla1**|연소라랑 파스텔블루랑 엄청 고민하다가 파스텔 블루 샀어요 근데 색이 아주 조금만더 밝았다면 더 이뻤을 거 같아요으ㅜㅡㅜ 그래도 이색도 나름이쁘고 기본티라서 어디에 코디해도 잘 어울리는 거 같아요~저번에 베이지색상 구매하고 이번이 두번째로 또 사는건데 연소라랑 다른색도 또다시 재구매할 의상 있습니다!
dlcodjs0**|생각보다 배송이 빨리와서 좋았고요 처음입었을때 털이 좀 옷에 묻어나와서 한번 탈탈 털고 입으니까 털도 많이 안묻고 괜찮았어요 따뜻하고편하게 입기 좋은것같아요
englid02**|편하게 입을수 있는 기본 아이템이라 너무 좋은 갓 같구요~~가격 대비 퀄리티가 매우 괜찮은 제품인것같아요~~완전 강추합니다아
kmh60**|끄앗엄청이뻐요오!!!길이도적당하구!❤코트도두꺼워서지금날씨에입어도적다료ㅐ려로!!!처음구매한건데너무맘에듭니다
phj12**|인기가좋은재품이라배송이늦을줄알았는데 하루만에왔어요!입어보니까살짝무거운거빼고는예쁜거같내요ㅎ역시믿고사는 고고싱~후기남길려고했는데사진추가가안되서ㅠㅜ그래두예쁘게잘입을게요:)
englid02**|일단 너무 편하고 핏도 예쁜 것 같아요!! 허리부분이 밴딩으로 되어있는데 티도 안나서 옷을 안에 넣고 입기도 너무 좋은 것 같아요!!
alsgk23**|예뻐요. 근데 계속 배가 신경쓰여서..ㅋㅋㅋ 배에 힘주고 다니게 돼요 ㅋㅋ 배나온게 적나라하게 드러남 ㅠㅠ 그리고 엄청 타이트해서 벗고입기 힘들어요 ㅋㅋㅋㅋ 하지만 이쁘니까..ㅋㅋ
englid02**|색감도 너무 예쁘고 재질도 많이 두껍지않아서 사계절 내내 입을 수 있을 것 같아서 좋구요 검정바지랑 같이 입으면 진짜 너무 예쁜 것 같아요~~ 핏도 적당하고 적극 추천합니다~~
englid02**|박시한 핏도 너무 예쁘고 따뜻해서 너무 좋아요~~ 편해서 운동할 때 입어도 괜찮고 밖에 잠깐 나갔다올때 부담없이 입고 나갔다 올수 있는 것 같아요 완전 추천합니다아~~
rnjscogu**|진짜 그냥 딱 일자로 떨어져요 누빔도 없고 겨울에 못입겠어요ㅠㅠ 저한테는 너무 안어울려서 동생 줬어요 봄가을용으로 입을듯 ㅠㅠ
rnjscogu**|제가 팔이 긴편인데 팔이 쫌 짧아요ㅠㅠ 생각보가 얇구요 안에 뭘 입으면 뚱뚱해보알거같고.. 완전 겨울용은 아니에요! 봄가을에 입으면 좋을거같은..ㅎ
rnjscogu**|M샀는데 생각보다 안짧았어요 다리에 비해 허리가 얇른 편인데 안에 니트 넣으니까 딱 맞더라구요 바람 들어온다는 느낌도 없어요! 벨트가 구멍만 나있고 핀은 없더라구요ㅠ
englid02**|핏도 너무 예쁘고 진짜 너무 편해요!! 꽉 끼는 느낌도 없고 길이도 적당해서 아무데나 편하고 입고갈 수 있는 제품이에요 완전 추천합니다~~
again25**|젹당히 두껍고 색도이뻐요가성비짱
sgy72**|너무이쁘네요 ㅋㅋ편하게 데일리하게 들고다닙니다 검정색이라 아무옷이나 매치해도 괜찮은 것 같아요 ~~여러분도 저렴한 가격이니 부담없이 구매해보세요 ~
junp**|예뻐요! 우선 색상은 사진그대로구요. 기장은 제 키가 150인데도 짧은걸보니 키큰분들은 좀 부담스러우실거같아요. 레깅스나 바지입고 입어야할거같아요. 근데 엄청 앙증맞네여 ㅋㅋㅋㅋㅋ이번에 가디건도 같이 주문했는데 둘이 완전 잘어울려서 잘 입고다녀요! 예쁩니다*.* 안감은 없지만 비침 전혀 없어요
pce04**|그레이랑 같이 구입했어욥~~ 한 번 입어보고 좋아서 재구매했습니당.조금 추운 봄까지 아우터와 입을 수 있을 것 같아여!!
pce04**|한 달 전에 그레이 구입 후 너무 좋아서 엄마한테도 선물했어요!살짝 얇은데 안에 긴 티 입고 입으면 생각보다 따뜻해요목도 쪼이지 않고 좋음!
