wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
dream81**|노란 맨투맨 갖고싶어서 샀는데 색도 딱 제가 생각한 색이고~ 귀여워요 ㅎㅎ 앞 뒤로 언밸런스하게 있어서 뭔가 옷도 엄청 흔하지도 않고! 같은 무지이지만 다른 느낌~? 근데 천이 좀 얇아서 아쉽네여 ㅠㅠ 약간 더 도톰했으면 좋았을텐데 ㅠㅠㅠㅠ
ptspri**|쫀쫀해서 내다리도 들어가겠지 했는데 살쫌 빼고입어야겠어요 하하 색깔은 되게 이쁨니당 ~!~!~! 청치마들이랑은 다른느낌 !
ptspri**|재질이 부들부들 까실까실해요 사진으로봤을땐 그냥 천인줄알았는데 그냥 무난히 입을수잇는 블라우스인듯 ~~~이쁩니다
ptspri**|색상은 사진이랑 똑같구 역시 이런원피스는 마른사람이 입어야하는가봐요 ..제가입어서 그런가 쫌 풍만했습니다 ..ㅋ 원피스자체는 되게이뻐요!
ptspri**|버건디색상 샀는데 약간 어깨 넓어보이는거 빼곤 이뻐요 색깔도 잘나왔고 ~ 밑에 청바지랑 같이입으면 정말잘어울려용 !
ptspri**|심심할수있던 슬랙스에 트임을 주니까 밋밋하지않고 예쁩니다 가을에 입기 딱좋구 이쁩니다!  무난하지 않은게 장점인듯 ㅎㅎ
ptspri**|이런 남방하나쯤은 있어야겠다싶어 샀는데 굉장히 편하고 질도 좋아요. 소매도 고급지고 잘입고 다니고있습니다. 아주만족해요~^^
ptspri**|흰색을 사고싶었지만 소라색밖에 없길래 소라색을 구입했습니다. 받자마자 보니 색깔이 촌스럽지 않고 고급스러워서 바로입어봤더니 더 만족했습니다 ! 초커블라우스라서 여성스럽고 소매도 예뻐요.
k2ys09**|무난하게 블랙으로 샀어요 ㅎㅎ 근데 너무 구김이 심하게 왔네요 ㅠㅠ 얇아서 위에 두툼하게 걸쳐야 할 것 같아요 잘 입을게여~
totquf65**|가을에 입으려고 기본 아이보리 색으로 샀는데 이뻐요! 되게 이쁜 바닐라색이에요ㅋㅋ 다양하게 코디할 수 있을것 같아요 그리고 소매는 한번 접어야 활동하기 좋네요 많이 파세요~
k2ys09**|색 진짜 예뻐요!!! 데일리로 자주 입고 다닐거같아요 두께는 생각보다 얇아서 안에 후드나 기모맨투맨 입고 입으면 될 것 같아요 잘 입을게요 ㅎㅎ
jw200**|여리여리하게 입을만한 블라우스입니당.끝이 붙어있어 잃어버릴 일도 없을 것 같아용그리구 팔뚝살이 좀 있는편인데 커버되더라구용저에겐 딱인 블라우스였습니다~.
khk73**|쫌 크게 나온거 같아요 길이도 길고 허리도 커요 ㅠㅠㅜㅜㅜㅠㅠㅠㅠㅠㅠㅠㅠ일부러 두꺼운 니트 입었는데도 커요ㅕ핏은 이쁜거같ㅇ아요~~~~~~
totquf65**|쵸커는 처음 산거데 독특하고 괜찮네요ㅎㅎ 연결하는 부분도 넉넉해서 다양한 연출이 가능할 것 같습니당 흔하지 않은 디자인이라 좋아요 맨투맨이나 기본 니트랑 같이 입으려구요 잘 쓸게요 많이 많이 파세요~
totquf65**|쵸커는 처음 산거데 심플하고 괜찮네요ㅎㅎ 연결하는 부분도 넉넉해서 다양한 연출이 가능할 것 같습니당 많이 많이 파세요~
jw200**|너무 예뻐요L인데 사이즈가 좀 큰느낌이 들어서M살껄하는 후회가 좀 들긴하지만예뻐서 만족합니다.두번째 입었을 땐 벨트 똑같은거 찼더니유니크하게 이뻤어용
leegi**|저거랑 비슷한 남방이 있어서 고민하다가 ... !! 후기도 좋고 모자가 있어서 더 귀여워보여서 구매했어요 ㅎㅎㅎ 예뻐욯ㅎㅎ
leegi**|에코백 하얀색있는데 너무 때 타서 ,, 이번에 블랙으로 사봣어요 ㅎㅎㅎㅎㅎㅎㅎㅎ 튼튼해보여요 !!! 매듭끈이잇어서 포인트가되네용
leegi**|제가 좋ㅇㅏ하는 색깔이 카키색이기도 하고 !!!!!! 일반적인치마가아니고 언발이라 넘 예뻐서 구매했어요 ㅎㅎㅎㅎㅎ 제가 허벅지에 살이 많아서그런지 딱 맞네염 ㅎㅎㅎㅎㅎㅎㅎ 저랑 비슷한 체형인분들은 라지하시면될듯해여 ㅎㅎㅎㅎ!
dahee96**|페이지에서 보이는것 만큼 스판이 그렇게 좋지는 않은데 발목까지 딱맞고 살까말까 엄청 고민했는데 사길 잘한것같아요
jueun00**|브라운 ㄹㅇ 가을템 ㅜㅜㅜ 개이뻐요 몽롱한 브라운색같음 무난하게 잘입을거같아요 검정스키니랑도 잘어울리더라고용 잘입어야징
jueun00**|저는 브라운사고 동생은 인디블루샀는데 인디블루색 진짜 색감이쁨 취처에요 저도 탐났어요ㅜㅜㅜㅜ 브라운은 진한모카색인데 정말 가을분위기나고 넘넘 예뻤어요 잘입을게요~~
kms7**|어깨가 너무 펑퍼짐한 느낌이있긴한대 편하게 청바지에 입기 좋네요! 친구한테 아빠옷입고나왓냐는 소리를 들었지만! 저는 만족입니당 ㅎㅎ
kms7**|완전이뻐요 사진모델분들이입은 그대로 정말 그모습그대로 핏색상 이고요 요즘 제일많이입는것같아요 색이뻐요!!ㅎㅎ
kms7**|완전 좋아요 요즘 크롭후드티많이보이는데 저렵하게 진짜 잘산것같아요 하이바지입고입으면 길이도 딱좋고 지금 자주 입고있습니다 ㅎㅎ
kms7**|크롭난방하나 사고싶었는데 잘안보여서 못사고 있었는데 드디어 샀네요 너무 얇지않고 가을에 겉옷으로 입어도 되고 추우면 위에 껴입고 입으려고요!
kms7**|완전 목부분이 짱짱하과 너무 펑퍼짐하지않을까 걱정했는데 딱 적당한 두께에 이쁘네요 잘늘어나지않고 목부분이 맘에들어용
kms7**|이뻐요!!!사진에서보던 그대로이고 색도 사진과 같네요! ㅎㅎ 니트여기서 많이구매했는데 그때마다 매번 잘입고있어요 작년에 산니트랑 올해산니트랑 같이 입고있어요 앞으로 더잘입겠습니다~
kdo74**|와인 색이 너무 이쁘고 핏도 이쁘고 편하고 안에 기모도 부드러워서 정말 좋았는데 속에 있는 기모가 많이 떨어집니다...
alrzl94**|엘 제가 원하던  넉넉한 핏에 반해꾸요! 진짜 요즘 최애 바지입니다ㅠㅠ 색깔두 흔한 청 색이 아니고 되게 예뻐요ㅠ 추천합니다요우
hee9604**|친구들이 칭찬해줬어요 예쁘다구ㅠㅠ 다른쵸커들은 개목걸이같다구하는데 이건 고양이목걸이(?) 같다고하네요 리본을 잘 못묶어서 흠이지만 연습해봐야죠! 쵸커 진짜 예뻐요.
hee9604**|베이지색이 정말 예쁜 베이지색이예요! 많이 구겨져서 왔지만 잘 .. 입어볼께요 길이도 딱 제가찾던 기장이라서 맘에들어요 :)  고민하고계시면 그냥 사세요! 가격도 엄청 저렴.
hee9604**|음 생각했던 재질은 아니었어요ㅠㅠ 그리고 검은색인데도 좀 비쳐요.. 생각보다 파이기도 했구요! 그래도 예쁘게 입고다닐수 있을것같아요 디자인자체는 맘에들어서 ㅎㅎ
hee9604**|ㅠㅠ 이거 박시하고 진짜 예뻐요 특히 소매부분 포인트가 예뻐요 스트라이프셔츠는 많지만 그것때문에 주문했는데 맘에들어요 :) 치마에 입으니까 예쁘네요~ 많이 사세요
dhdgml2**|치마가 크게나온건지 제가 살이빠진건지ㅋㅋㅋㅋㅋ저한테는 컸어요!! 그래서 언니한테 주고 엠으로 하나더살까 고민중입니다!! 이것도 이뻐요짱!!
hee9604**|ㅋㅋㅋㅋㅋ배송비 안내려고 산것치고는 괜찮은것같아요 핑크색으로 와서 좋네요 ㅎㅎ 제눈썹엔 안맞는것같지만 친구들이 신기하다고 어디서샀냐고 물어봐요
hee9604**|좋아요 좀 얇긴하지만 알고 산거니까 :) 겨자색 정말 예쁘네요 길이도 딱 생각했던 길이예요! 가격도 저렴하고 맘에들어요 ㅎㅎ
dhdgml2**|우선 크기가 사진보다 커서 놀랐구용이뻐요!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋ가격대비 이쁜거같아요!이것도 잘샀네요ㅋㅋㅋㅋㅋㅋ
dhdgml2**|얇지도 않고 두껍지도 않아서 지금입기 진짜 좋은거 같아요!!색깔도 이쁘고 괜찮네요!!솔찍히 그냥 기대안하고 산건데 맘에 들어요! 잘입을께요
ohb42**|제가 키가 작아서 고민이 많았는데 옷도 이뿌고 5부에 입으니깐 진짜 예뻐요 그렇게 뚜껍지도 않고 넘 좋아용 교복에 입어도 이뽀용
krk03**|스판끼가 대단하네요.. 근데 제가 사이즈를 잘못 산건지 허리부분이랑 엉덩이 부분이 걷다보면 내려가요...그래서 엄마가 배기팬츠냐고 물어보심;;걷다보면 허리부분 올려줘야 해요;;ㅋㅋㅋ;;;
krk03**|처음에 배송왔을땐 구겨져있었는데 다려서 입으니깐 이뻐용평소 27?정도 입는데 H라인 치마는 걷다보면 올라오고 그러는데 A라인은 그런게 없어서 좋네요! 기본 A라인이에요!
tmdgus03**|길이도 그렇게 길지도 않고 녹색 시켯는데 어떤바지든 잘어울려서 편하게 입으면서 꾸민듯 안꾸민듯 아주 이쁘고 맘에 쏙듬~~
tmdgus03**|꾸민듯 안꾸민듯 이쁜거같아여 허벅지 안쪽살때매 약간 걱정했는데 색깔때매 배치도 잘되는거같고 상의 색상하고 어떤거로든 잘어울리고 착용감 끝장남당
mai73**|진짜 바지 다리도 얇아보이고 넘나예쁜것 인생바지득템!!!다음에 연청으로 하나더 겟 해야겠다 재질도 좋고 핏도좋고 심지어 색도 내가찾던 그색!!몇일째 이거만입고있다 !!살까말까 고민할땐사는걸로~후회안해요 네버진짜로!!(
didskdud09**|무난한 맨투맨을 찾고 있었는데 가격도 저렴하고 무난해서 어떻게 입어도 이쁠거같아요!!체격이 작아서 많이 클줄알았는데 적당해요!
didskdud09**|긴팔 박스티가 필요했는데 가격도 저렴하고길이도 제가 원하는 길이에요 ㅠㅠ품도 너무크지도 않고 딱 이쁘게 박스티로 입기 좋아요 ㅎㅎ
didskdud09**|예전에도 구매했었는데신었을 때 길이가 딱 제가 원하던 길이에요!!이번에 또 구매했는데 색깔별로 구매하려구요 ㅎㅎ가격도 저렴해요 ㅠㅠ
didskdud09**|일단 화면이랑 색이 똑같아서 맘에들었어요 ㅎㅎ배송도 완전 빠르구요!!재질이 많이 얇아서 여름에 입기 좋은거같더라구요!더 추워지기 전에 자주 입어야겠어요 ㅎㅎ
ontwinkle**|흔한건지 모르고 샀는데 ㄱ국민니트라고.. ㅋㅋㅋㅋㅋ 옷은 예뻐요 밑에 스커트랑 레이어드해서 입으니까 진짜 예쁘더라구여 근데 너무 흔해서 자주는 못입을듯 근데 여기가 젤 싼듯
ontwinkle**|좀 많이 얇아요 그거빼곤 예뻐요ㅠㅠ 완전 롱스커트라서 키가 많이 작으신분들은 입기 힘드실듯 얇아서 요즘은 못입을꺼같아여
nayeon80**|고고싱에서 처음 구매해보는 저로써는 정말 고민 많이 됬어요 후기 하나하나씩 읽어보며 결국 와인색을 샀습니다 정말 예뻐요..은근 살집이 있는 몸이라 원피스 달라붙을까봐 걱정됬는데 친구들이 날씬해보인데요..ㅎ.ㅎ! 너무 감사합니당 고고싱 이제 항상 애용합니다♡
ontwinkle**|가격대비 굳굳 좀 많이 구겨져서와서 다리미질 징짜 열심히헀어욬ㅋㅋㅋㅋ 제가 키가 작아서 핏이 그렇개 예쁘진 않은데 이간 제탓이니까... ㅠㅠㅠ 예쁩니다
ontwinkle**|데일리룩으로 편안하게 들고다니기 좋아요 흠이있다면 뭐 묻허서 한번빨았는데 줄어들었어요 ㅠㅠㅠ 많이줄어든던 아니라서 다행
ontwinkle**|브이넥도 너무 깊지 않게 파져서 데일리룩으로 입기 좋아영 조금 길이가 어정쩡하긴 한거같긴한데 여리여리해보이고 예쁩니다
yelld**|아 이거 진짜 이뻐요ㅠㅠ 약간 엉덩이 덮을라 말라하는데 이뻐욤 ㅎㅎ여리여리해보이고 남자인친구가 천쪼가리 입으니까 춥지해보였지만 보호본능 자극>< 데일리로 편하게 입기 조아용 스타일리쉬함 ㅎㅎ
yelld**|기본나시 너무필요했는데 마음에들어요 ~솔직히 다른 특별한점은 없고 무난하고 나시니까 입기 좋아용 !추천추천 해용~~~
goazhd**|역시 이쁘다 내스타일이다 생각들때 바로사야하나봐요ㅠㅠ신상이라 후기가 아직 없어서 찜해놓고 고민만 하며 뜸들이다가 주문하고 입금했는데 품절ㅜㅜ그러고 재입고되기만을 기다렸죠...그래도 재입고후엔 택배짱빨랐어요. 역시 택배는 고고싱!! 막상 입었을때 좀 길어서 당황했지만 넣어입으니 이쁘더라구용ㅎㅎ안쪽이 살짝 거친느낌이 있긴했는데 세탁 몇번하고 입다보면 크게 문제될것같진않네요ㅎ입을때도 전혀 거리낌없구용. 데일리로 입을듯싶어요 ㅎ
goazhd**|입금하고나서 재고품절이라 재입고되기까지 오래걸렸지만ㅜㅜ그래도 재입고후에 배송은 완전 빨랐어요ㅎㅎㅎ거의 이틀만에 바로!ㅎㅎ이미지로 보던거보다 그렇게 막 얇지도 않고 촘촘해서 하나만 입어도 괜찮고 더추워지면 이너로 입기 딱일것같아요! 그리고 몸에 달라붙는게 너무 부담스럽게 붙지않고 딱 라인이 이쁘게 맞아서 좋아요ㅎ제가 체구가 작아서 그런지 팔길이는 좀 길었는데 옷이 그냥 예뻐서 전체적으로 다 좋아요!
raye**|정말 추천합니다!!!본 순간 확 꽂혀 질렀는데 사길 잘했어요정말 너무 이뻐요!! 핏도 여리여리하게 나오고근데 길이가 생각보다 너무 짧아서 좀 당황스러웠어요 ㅠㅠ그래도 뭐 무난하게 잘 입을것 같아요
raye**|생각보다 실망을 많이 했습니다엄청 기대하는 마음으로 입어봤는데어깨뽕이 장난 아니더라구요 ㅠㅠ안그래도 어깨가 큰 전데 제가 입으니어깨깡패가 되더라구요 ㅠㅠ여리여리하신 분들이 입으면 이쁠것 같아요
raye**|니트조끼도 같이 사서 코디해서 입었는데다들 이쁘다고 하더라구요 ㅎㅎ무난하게 잘 입고 있습니다!!제가 팔뚝이 두꺼워 입으니 핏이 좀 안살지만옷 자체는 정말 이뻐요!!
raye**|완전 강추합니다!!!색상도 너무 이쁘고 입었을때 핏도 짱짱!!사진은 올리지 못했는데 정말 추천하고 싶어요괜찮은 가격에 정말 잘 산 것 같아요!!고고싱 사랑합니다^^
raye**|제가 몸매가 좋은 편이 아닌데 제가 입어도되게 핏이 이쁘게 나오더라구요!!잘 코디해서 데이트때 입으려구 합니다제 키에 길이는 무릎까지 옵니다!!정말 추천 해요!!
raye**|기대를 많이 하였는데 실제로 보니 더 만족스러워요!!!핏도 되게 이쁘게 나오고 무엇보다 편한게 짱짱!!날씬한 분들이 입으면 되게 이쁠것 같아요!!코디해서 이쁘게 잘 입겠습니다!! 강추해요!!
raye**|기대를 많이 하였는데 막상 입어보니 저랑 어울리지 않네요제가 입어보니 할머니 옷같이 이상하더라구요 ㅠㅠ옷 자체는 이쁜데 저랑 어울리지 않아서잘 안입을 것 같아요. ㅠㅠ
jh748**|몰랐는데 생각보다 사이즈가 크더라구욬ㅋㅋ 사진보면 소매 접어야 손등정도 가려져요 8ㅅ8... 물논 옷기장도 엉덩이까지 덮어준거는 좋았어요ㅋㅋ 입고 다니다보니 사이즈 익숙해져서 괜찮았어요!사진에 바지를 저거입어서 밖으로 내서 입으면 바지가 롤접힌부분밖에 안보여서 넣어입었은데 바지 안에 안집어넣어도 이쁨ㅎ...
do**|크기가 너무 크지도않고 너무 작지도않고 딱 적당해서 좋고 디자인도 마음에 들어요 ㅎㅎ 태슬도 이쁘고 전체적으로 너무 이뻐요!
apahfl5**|브라운만 그런 건진 모르겠는데 뒤에서 보면 팬티라인이 비쳐요게다가 허리쪽이 살짝 흘러내리는데 벨트를 차기에는 뒤쪽에 벨트 넣는 곳이 없어서 너무 이상하게 돼서 아쉽네요
apahfl5**|색깔하고 핏 둘 다 만족한 옷이에요오렌지치고는 코랄색같지만 그래서 더 예쁜 거 같아요이제 슬슬 쌀쌀해져서 사봤는데 사길 잘한 거 같네요
apahfl5**|셔츠 되게 마음에 들어요생각보다 재질이 괜찮은 거 같네요다음에 기회가 된다면 M 사이즈로도 사보고 싶어요다른 분들도 사보셨으면 좋겠네요
blockbee04**|이뻐요!! 대학교면접보러가려고 샀는데 예쁘게잘입었어요!!박음질이 좀별로긴한데 몇번입기엔 좋은것같습니다~~~
chj60**|저번에는 베이지색 구매하고 괜찮길래 연소라 구매했습니다!모델컷이랑 색상은 비슷하고 흔히 생각하는 연소라색보다는 좀 탁한 느낌이 있긴한데 저는 이 색이 더 맘에 드네요~ 짜임도 괜찮고 핏도 괜찮고 가격도 저렴해서 저는 이런 스타일 니트는 항상 고고싱에 삽니다! 사실 분들 있으면 주저말고 구매하세요~ 아 글고 루즈한 핏이라서 팔 길이가 좀 길더라구요. 제가 팔이 긴편인데도 긴거보면 ㅎㅎ 좀 많이 길긴한거같아요. 근데 몇번 접어입어도 예쁩니다
seo54**|첨에 딱보고 색깔도 너무이쁘고 입엇는데 가벼운데도통함ㅎㅎㅎ갑자기추워져서입엇더니 딱좋네옹ㅎㅎㅎ바지에넣어입는게이쁜듯합니다ㅎㅎ
rlarkdms0010**|친구들이랑 같이 맞췄는데 불편한거 한개도 없이 편하구 이쁜거 같아여!소매 길이랑 총기장 사이즈보고 이게 나한테 안맞으면 어떡ㅎㅏ나 고민했는데 다행히 많이 크지가 않아서 좋은거 같았다
dldbtjs**|포토후기 2등이요~!! 고고싱 롱원피스를 보다가 코디된 이 슬라브티가 너무 예쁘게 잘 어울려서 구매하게 됬어요~ 여행갈때 입으려고 구매했던건데 여행에서 잘 입었어요~ 그 뒤로 단독으로도 잘 입고 다녀요~ 원단소재가 특이해서 흔하지 않고 소매부분이 넓은게 너무 맘에 들어요~ 다른 컬러도 사고싶네용
dldbtjs**|쵸커랑 어울릴 블라우스를 찾고 있던 중에 모델이 입은 게 너무 예뻐서 구매하게 되었는데 사진하고 똑같아요!! 저는 무난하게 네이비 컬러 선택했구 머스타드색 치마랑 같이 입었는데 그냥 검정 치마에 코디해도 바지에 입어도 예쁠거 같아요~ 맘에드는 블라우스를 얻어서 좋아용~ 고민하지말고 구매하세용
dldbtjs**|포토후기 일등이요~ 쵸커를 한번도 사본적이 없어서 이번에 구매해보쟈 해서 구매하게 됬는데 심플하니 아주 예뻐요 맘에들어요~ 목이 좀 파여있는 셔츠랑 입었을때 가장예쁜거 같아요~ 고고싱에서 악세사리는 처음 사보는데 만족합니당~ 다른것도 사고싶네용
dldbtjs**|놀러갈때 입으려고 산 건데 배송이 지연되서 좀 늦게 받았네요 다행이 여행 하루전날에 와서 입을 수 있었어요~ 코디 되어있는데로 입었는데 너무 맘에들어요 길이감도 딱 적당하고 원단 느낌도 좋앗어요~ 아쉬운점은 말라보이지는 않는것 같아요 약간 펑퍼짐해보여요ㅠ그게 아쉬워요 나머지는 다 맘에 들었습니다~
ekd**|고고싱에서 남방을 몇번 샀는데 이번에 제일 별로인것 같아요일단 너무 커요.. 특히 카라부분이요..색상은 괜찮은데 제가 목이 좀 긴편이라 어울리지 않더라구요재질도 지금 이 날씨에 입기엔 좀 추운것 같아요배송도 일주일정도 걸렸는데 기다린만큼 실망도 커요 ㅠ
iop**|키가 작아 약간 기장이 길어요~ 색깔은 너무 마음에 들고 너무 예뻐요~~~보라색도 아니고 분홍색도 아니구 오묘한 색을 원했는데 딱 좋구요~ 다만 흠이 있다면 이 니트도 보풀?이라고 해야하나 아니면 실이 삐져나왔다해야하나  그렇게 좀....삐져나와있더라구요..ㅜㅠ 다행이 가위로 살살 잘라내니 괜찮아졌어요~ 다음에는 제발..상태 확인좀 잘하고 보내주세요..ㅠㅠ
veryy**|회색살까 하다가 베이지 샀는데 회색 샀으면 더 예뻤을 것 같아요 뒤에 지퍼도 은근 길어서 포인트 용으로 딱 좋은 것 같아요 디자인도 질감도 싸보이지 않아서 좋아요
veryy**|남방 좋아하는데 셔츠 스타일로 깃이 있어서 마음에 들어서 구매했어요 뭔가 겉에 얇은 점퍼 입은 느낌도 나고 체크도 커서 딱 좋아요
veryy**|셔츠 스타일 찾다가 구매했는데 색도 예뻐요 너무 두껍지도 않고 기존 스타일하고 달라서 구매하길 잘 한 것 같다는 생각이 들어요 청바지에 입어도 예뻐요
veryy**|박시한 남방 찾다가 색도 어둡고 해서 샀어요 너무 박시할까봐 걱정했는데 오히려 덜 박시해요 흰색 티에 같이 입었는데 너무 예뻐요 굿굿
veryy**|버건디 구매할까 하다가 남방이랑 겹처서 브라운 색상 샀는데 후드도 있고 마음에 쏙 드네요 박시하지도 않고 항공점퍼에 입으니까 예뻐요 질도 나쁘지 않고 괜찮습니다
veryy**|기본 색상 맨투맨 찾다가 박시해서 구매했어요 무난한 베이지색을 주문했는데 색도 딱 그 색이고 두께도 너무 두껍이 않아서 좋은 것 같아요 1개만 구입했는데 1개 더 살 것 같아요 마음에 듭니다
veryy**|박시한 스타일 좋아하시는 분들은 좋아할 것 같아요 사이즈도 크고 두꺼워서 추울 때 입기 딱 좋을 것 같아요색도 화면에 나온 색 그대로라서 믿고 구매하셔도 될 것 같아요 만족합니다
veryy**|머스타드 색 구매했는데 옷이 두꺼워서 마음에 들어요 색감도 여리여리 딱 사진에서 본 그대로에요 옷 두툼해서 지금 입으면 좋을 것 같아요 길이도 은근? 길에서 마음에 쏙 드네요
veryy**|베이지 색상 구매했는데 예뻐요~ 같이 산 단가라티랑 입었는데 스타일링 한 그대로 입으니 더 이상 지적 할 부분 없이 마음에 들었어요 머스타드에 베이지색도 어울리는데 검정색도 잘어울 릴 것 같아요
veryy**|박시한 남방 스타일을 찾다가 회색도 좋아서 샀어요 정말 박시해요 마치 포대자루 입은 느낌? 진짜 박시해서 큰 옷 입는 것 같은 스타일 좋아하시면 이거 추천해요 빨간 라벨도 포인트라서 눈에 잘 들어와요 재질도 좋고 만족합니다
veryy**|남방자켓 스타일 찾다가 고민했는데 후드도 있어서 바로 샀어요 어두운 색을 원했는데 도착하고 보니 어두워서 마음에는 들었는데 실밥이 좀 많아서 다 떼고 입느라 고생 좀 했네요ㅠㅠ 실밥 때문에 별 하나 뺍니다
veryy**|입고가 늦어서 제일 늦게 받은 상품이에요ㅠㅠ 제품이 좀 얇아서 지금 같은 철에는 자켓을 입고 입어야 할 것 같아서 좀 아쉬운데 추워지기 전에 단품으로 입었으면 색감도 예뻐서 더 예뻤을 것 같아요 핏도 예쁘고 어디 터진 곳 없이 와서 만족합니다
veryy**|반신반의하면서 샀는데 정말 쭉쭉 늘어나고 편해요 발목부터 들어가는게 편하고 입었을 때도 스판 입은 것 처럼 잘 늘어나서 정말 청바지라는 생각이 안 들어요 색감도 예뻐서 만족스럽습니다
yopv45**|처음이고 나갔을때 너무 갑갑해서 지금은 집에서 있을때만 하고 잇어요 좀더 적응되면 밖에 나갈대도 해보려구요 !! 효과는 아직 얼마 안해봐서 모르겠지만 효과만 있으면 맨날하고 싶네요 !!
yopv45**|한번 세탁해서 입었는데 벌써 보풀이 조금 올라온거 말고는 다 좋아요 !! 가격이 저렴하니까 상관없어요 ~~지금날씨에 난방이나 블라우스에 같이 입기 딱좋은거 같아요!! 아니면 원피스에 입어도 이쁠거같고 아무 옷이나 겹쳐입기 좋아요 !!
thdnjs9**|너무 좋아요ㅜㅜㅜ 와인말고도 브라운도 샀는데 너무 마음에 들어요!! 후회없으실듯 ㅎㅎ 고고싱에서 옷 많이 사는데 이번것도 굳 ㅎㅎ
yyh88**|니트 고급스럽고 이쁘네요 싼티절대안나요!!다만 배송이너무느려서 실망햇지만 기다린만큼 옷은 훌륭하네요!!잘입을게요 감사합니다.!
chdus0**|사이즈가 예매하게 나와서 평소입는대로 구매한결과 살이찐이유도있지만 작아요 밑단도 작아서 불편하고 나온대로 스판도없어요; 사실분들은 치수 크게 사는게 좋을것같아요
dlduswjd7**|배송이 조금 느리긴 했지만 9800원에 이정도면 괜찮은거 같아요. 근데  생각했던거거 보다 너무 얇아서 지금 입고 못입을거같아요
veryy**|입고가 많이 늦어서 상품을 늦게 받았는데 생각보다 퀄리티가 좋아요 두께도 두꺼워서 오늘같이 추운 날 입으면 딱 좋을 것 같아요 기본 색상 샀는데 다른 색상도 짱짱한게 예쁠 것 같아요 만족합니다
lje01**|옷 받고 한 일주일 조금 넘어서 입게 되었네요 중청에 색까류빠진 느낌의 바지? 찾고 있었는데 마음에 든 바지 찾아서 주문했었습니다 그런데 입기 힘드네여.. 우선 스판은 그렇게 와~!놀랄정도는 아니였어요 또 단주 잠그고 지퍼 올리는데 이렇게 힘들줄이야ㅠ 골반이 아픔을 느끼면서 잠가야 했어요 핏이랑 그런거는 딱 맘에 들어서 좋은데 골반 아픈거 빼고는 괜찮은 제품이예요~
veryy**|얇을거라고 생각했는데 받아보니 생각보다 두툼해서 추울 때 입기 좋을 것 같아요 생각보다 퀄리티도 좋고 색감도 잘 나와서 만족스럽습니다
hanstar63**|인기가 많아서 그런지 늦게 받았는데요.그래도 만족합니다.참 이뿌요^^
hanstar63**|디자인두 맘에 쏙들구요.좋으네요^^  하비라서 엠 사이즈 했는데 아슬아슬 하게 맞네요.ㅋㅋ조금 살빼서 이뿌게 입을께용.
hanstar63**|음..  평소에 80a를 입는데요.사이즈 보니 에스가 맞겠구나 하고 샀는뎅작아서 불편하더라구요.엠이면 딱 될것같고 괜찮을것 같습니다.
yoovin12**|인디핑크 색깔 너무 이쁘고 생각보단 길이가 쫌 짧아서 아쉬웠지만 겨울에 따뜻하게 입을 수 있을 것 같아요! 그리고 소매가 완전 길었어용
yoovin12**|길이가 생각보다는 조금 짧았지만 색깔도 이쁘고 디자인도 세련되서 좋았어요! be loved 라고 써진 글자 너무 이뻤어요!
thdus25**|실망시키지않는 고고싱입니다 ㅎㅎ가격대비 역시 짱짱해서 좋구요 소매쪽이 생각보다 튼튼하네요 빨리 안늘어날 것 같아요 두께도 이정도면 11월까지는 입을 수 있을 것 같네요키가 큰데도 길이감이 딱 적당합니다배송은 월요일에 시켜서 그 주 금요일에 왔어요
ssj71**|오버사이즈 감이 있어 좋아요봄가을에 입으면 괜찮을 거 같네요끈이 있어서 밋밋함이 덜하네용색이 여러 색상이 있으면 잘 팔릴 것 같은생각이 드네용^^
kms9808**|아노락후드라고 하는 후드티를 사보고 싶었지만 너무 비싸서 못사보다가 요번에 사봤는데 후리스라고 해서 기대도 안했지만 너무 부드럽고 따듯하고 좋아요!
ssj71**|가을 겨울에 입기에 딱 좋아용.기모안감이 있어서 따뜻하고 사이즈도 맞고 맘에 듭니다앙ㅎㅎ길이도 제 다리사이즈에 맞고 좋아용ㅎㅎ빨면 먼지이런게 붙을 것 같네용..
kms9808**|청치마는 아직 사보지 못하였다가 요번에 사봤는데 짧을줄 알았지만 제 키에는 적당히 짧지않고 길지도않아 길이도 좋고 A라인이라 좋은 것 같아요!
ssj71**|사진과 똑같아요.볼 넓은 사람들은 작을 수도 있을 것 같아요.신다보면 발이 아프고 불편 한 감이 있어요ㅠㅜ그래도 보기엔 제가 원하는 디자인 이에용ㅎㅎ
kms9808**|고고싱에서 청자켓밖에 안사밨는데 나중에 또 사야지 했지만 결국 요번기회에 사봤는데 색깔이 레드라 눈에 너무 확 띄드라구요 거기다가 니트가 짧은감이 있어서 코디하기 어려운거같아요 저에겐 ㅠㅠ 그래도 좋습니다!
ssj71**|너무 싸구려 티나요잘 늘어날거 같고 한번빨면 옷 재질이 달라질 거 같아요  ㅠㅠ모델언니가 입은 것과 같은지 한번 더 의심하게 되네요..
1767866533468309**|진짜 이거는 이쁜거같아요 미트종류는 처음사는거라 고민했는데 잘삿어요 이쁘고 이건 꼭사야되요!!가격대지짱짱이에여
